h3index,res,lat,lon,osmid
891f02b91cbffff,9,53.7998669,11.3620905,https://www.openstreetmap.org/way/363193771
891f02b8ccfffff,9,53.8424667,11.4690154,https://www.openstreetmap.org/way/263545851
891f02bae93ffff,9,53.8816421,11.4320788,https://www.openstreetmap.org/way/329424632
891f02bac2bffff,9,53.88816,11.4648336,https://www.openstreetmap.org/way/230885034
891f02bac57ffff,9,53.8887576,11.4474378,https://www.openstreetmap.org/way/311068514
891f02bac8fffff,9,53.8961826,11.4563149,https://www.openstreetmap.org/way/316211130
891f02badc3ffff,9,53.8962317,11.4760803,https://www.openstreetmap.org/way/97759936
891f02b1a5bffff,9,53.8910208,11.51025,https://www.openstreetmap.org/way/372738305
891f02b020bffff,9,53.9439355,11.5006395,https://www.openstreetmap.org/way/310847942
891f02b3593ffff,9,54.0012321,11.4371085,https://www.openstreetmap.org/way/305580443
891f02b232fffff,9,53.9940376,11.5336975,https://www.openstreetmap.org/way/293212105
891f02b232fffff,9,53.9937492,11.53352,https://www.openstreetmap.org/way/297809188
891f02b0587ffff,9,53.9894261,11.5357296,https://www.openstreetmap.org/way/680274410
891f0284b9bffff,9,53.9271553,11.371427,https://www.openstreetmap.org/way/338308752
891f02b8cc3ffff,9,53.8445898,11.4645203,https://www.openstreetmap.org/way/47295105
891f02b8cd3ffff,9,53.84550605,11.4639507,https://www.openstreetmap.org/relation/12888414
891f02b8cd3ffff,9,53.84551235,11.4645079,https://www.openstreetmap.org/relation/12888415
891f02bae87ffff,9,53.8807317,11.4398862,https://www.openstreetmap.org/way/329624409
891f02bae87ffff,9,53.8811261,11.4407969,https://www.openstreetmap.org/way/329624407
891f02ba527ffff,9,53.9039781,11.4178633,https://www.openstreetmap.org/way/91523106
891f02b2e53ffff,9,53.9949852,11.5391249,https://www.openstreetmap.org/way/925183443
891f02b12d7ffff,9,53.90999305,11.42391625,https://www.openstreetmap.org/relation/8349303
891f02aa64fffff,9,53.7691021,11.47894,https://www.openstreetmap.org/way/87463068
891f02aa643ffff,9,53.7693017,11.4786927,https://www.openstreetmap.org/node/8762680272
891f02b8c57ffff,9,53.8398612,11.470029,https://www.openstreetmap.org/node/8866791326
891f02bac23ffff,9,53.8891177,11.4681699,https://www.openstreetmap.org/node/8587177095
891f02bac23ffff,9,53.8890169,11.467652,https://www.openstreetmap.org/node/8587177096
891f02bac23ffff,9,53.8889725,11.4677228,https://www.openstreetmap.org/node/8587177097
891f02bac23ffff,9,53.8889944,11.4677194,https://www.openstreetmap.org/node/8587177098
891f02bac3bffff,9,53.8897065,11.4636082,https://www.openstreetmap.org/node/437286995
891f02bac33ffff,9,53.8921615,11.4653019,https://www.openstreetmap.org/node/278049215
891f02badd3ffff,9,53.8975197,11.4761102,https://www.openstreetmap.org/node/1040047870
891f02b3583ffff,9,53.9991383,11.4392368,https://www.openstreetmap.org/way/305879274
